p(MeV) beta E(MeV) m(MeV)
282.236 0.888611 317.615 145.678 
285.168 0.89671 318.016 140.76 
291.681 0.914785 318.852 128.797 
283.209 0.878617 322.335 153.924 
287.295 0.888485 323.354 148.389 
290.69 0.910237 319.357 132.242 
284.65 0.900176 316.216 137.72 
284.935 0.890756 319.88 145.38 
282.734 0.897535 315.011 138.902 
291.626 0.890951 327.32 148.636 
285.106 0.889911 320.376 146.134 
291.597 0.899359 324.228 141.756 
288.37 0.901781 319.778 138.206 
291.716 0.90248 323.238 139.229 
292.39 0.877138 333.346 160.085 
294.52 0.923579 318.89 122.265 
274.016 0.884872 309.667 144.254 
282.943 0.895604 315.924 140.54 
285.425 0.897173 318.138 140.515 
297.628 0.90266 329.723 141.897 
294.749 0.901531 326.943 141.473 
284.159 0.900425 315.583 137.282 
278.723 0.900415 309.55 134.664 
275.757 0.906661 304.146 128.307 
298.605 0.908337 328.738 137.491 
290.453 0.907482 320.065 134.456 
286.54 0.904092 316.937 135.439 
